0.4630,0.7631,-0.1054
0.4526,0.6761,-0.2065
0.4584,0.7051,-0.1147
0.4205,0.5817,-0.1524
0.4505,0.6459,-0.2188
0.4497,0.6072,-0.2031
0.4494,0.5151,-0.0981
0.2047,0.5216,0.0617
0.4467,0.4414,-0.0672
0.4440,0.4011,-0.0716
0.4406,0.2721,-0.0308
0.4640,0.7760,-0.1004
0.4654,0.7835,-0.0902
0.4664,0.7839,-0.0754
0.4692,0.8254,-0.0622
0.4693,0.8354,-0.0696
0.4698,0.8476,-0.0796
0.4705,0.8626,-0.0774
0.4720,0.8888,-0.0505
0.4544,0.6920,-0.1881
0.4236,0.6902,-0.1370
0.0719,0.4254,0.2466
0.3074,0.5420,0.0196
0.2713,0.5446,0.0243
0.2366,0.5438,0.0359
0.1899,0.5321,0.0689
0.3372,0.5343,0.0222
0.2566,0.4722,0.0098
0.2935,0.4725,0.0087
0.2218,0.4783,0.0236
0.1985,0.4898,0.0397
0.1595,0.5500,0.0888
0.3355,0.9300,0.0081
0.1919,0.5171,0.0750
0.0590,0.5472,0.2594
0.1210,0.5345,0.1285
0.2695,0.6535,-0.0218
0.4072,0.7594,-0.0988
0.4131,0.7827,-0.0809
0.3513,0.7642,-0.0704
0.3155,0.7703,-0.0308
0.3719,0.7822,-0.0586
0.3400,0.7822,-0.0227
0.2806,0.8193,0.0378
0.4229,0.6761,-0.2021
0.4171,0.6471,-0.2129
0.1395,0.4592,0.0550
0.3485,0.5840,-0.0252
0.3403,0.6677,-0.1077
0.3381,0.6523,-0.0959
0.1571,0.6504,0.0348
0.4183,0.6114,-0.1899
0.2189,0.4203,-0.0104
0.1721,0.4345,0.0206
0.1030,0.3713,0.1740
0.3720,0.4362,-0.0526
0.3268,0.4809,0.0170
0.2475,0.7856,0.0457
0.1128,0.8169,0.3467
0.3675,0.6830,-0.0956
0.3981,0.6923,-0.1011
0.2740,0.7832,0.0465
0.2924,0.7843,0.0367
0.1506,0.4166,0.0389
0.3382,0.6786,-0.0880
0.2834,0.4181,-0.0360
0.2747,0.3943,-0.0431
0.2384,0.2947,0.0268
0.1262,0.3934,0.0983
0.2591,0.3427,-0.0090
0.1173,0.4480,0.0873
0.0939,0.4385,0.1632
0.4092,0.7742,-0.0928
0.3627,0.7757,-0.0647
0.3278,0.7764,-0.0293
0.3760,0.6878,-0.0882
0.2824,0.7834,0.0414
0.3048,0.8019,0.0182
0.2993,0.7851,0.0355
0.3872,0.6758,-0.1466
0.3471,0.7790,-0.0179
0.3793,0.7808,-0.0451
0.4181,0.7830,-0.0664
0.4132,0.8885,-0.0431
0.4136,0.8599,-0.0683
0.4145,0.8441,-0.0697
0.4166,0.8323,-0.0588
0.4200,0.8238,-0.0521
0.3456,0.8096,-0.0068
0.3392,0.8120,-0.0130
0.3312,0.8179,-0.0185
0.3255,0.8265,-0.0109
0.2900,0.7461,-0.0202
0.0712,0.6780,0.4048
0.4563,0.6981,-0.1404
0.3246,0.8015,0.0201
0.3140,0.8004,0.0167
0.4105,0.7051,-0.1029
0.3492,0.6945,-0.0619
0.4047,0.6990,-0.1031
0.3089,0.5999,-0.0114
0.2460,0.6175,0.0012
0.3313,0.6640,-0.0746
0.1549,0.3264,0.0967
0.1778,0.3602,0.0415
0.2038,0.3979,-0.0034
0.3143,0.8475,0.0129
0.3577,0.3971,-0.0642
0.3443,0.3381,-0.0400
0.3304,0.2787,-0.0170
0.2070,0.5401,0.0534
0.1205,0.5704,0.1104
0.3555,0.5262,0.0256
0.1592,0.4995,0.0746
0.3735,0.5653,-0.0397
0.3629,0.6581,-0.1448
0.0838,0.5927,0.1538
0.1437,0.5856,0.0757
0.1885,0.5922,0.0398
0.2575,0.5882,0.0201
0.3103,0.5777,0.0095
0.3486,0.5642,-0.0025
0.4172,0.5243,-0.0814
0.0828,0.6487,0.1429
0.1290,0.4954,0.0936
0.4369,0.6910,-0.1852
0.3499,0.6106,-0.0444
0.0542,0.5495,0.3801
0.3757,0.5478,-0.0095
0.3272,0.6654,-0.0364
0.1796,0.5187,0.0832
0.3615,0.6394,-0.1302
0.0851,0.7467,0.3849
0.3549,0.5163,0.0353
0.3895,0.6228,-0.1670
0.1831,0.8692,0.1560
0.1972,0.9067,0.2147
0.0590,0.6667,0.2754
0.1325,0.8368,0.1999
0.0757,0.4892,0.2223
0.3357,0.9583,0.0259
0.4423,0.6972,-0.1374
0.3157,0.6307,-0.0308
0.0910,0.5421,0.1672
0.2401,0.5273,0.0383
0.2711,0.5289,0.0280
0.2966,0.8057,0.0243
0.0861,0.7071,0.1531
0.4051,0.9945,0.0248
0.3012,0.9615,0.1118
0.2550,0.9387,0.1590
0.4420,0.3369,-0.0533
0.4783,0.9983,0.0089
0.3009,0.5271,0.0249
0.3290,0.5224,0.0289
0.3465,0.5192,0.0354
0.1031,0.4909,0.1318
0.3236,0.5013,0.0234
0.2930,0.4966,0.0186
0.2633,0.4963,0.0218
0.2332,0.5012,0.0323
0.2132,0.5081,0.0446
0.0565,0.4811,0.3220
0.2193,0.5246,0.0506
0.4603,0.7246,-0.1033
0.3283,0.7323,-0.0527
0.3672,0.6796,-0.1092
0.4048,0.7266,-0.0965
0.4489,0.4785,-0.0693
0.2382,0.9033,0.1194
0.2864,0.9304,0.0752
0.3989,0.9770,-0.0175
0.1519,0.8703,0.2829
0.3449,0.5098,0.0308
0.3950,0.5712,-0.0937
0.4757,0.9788,-0.0315
0.3485,0.9813,0.0610
0.0705,0.7304,0.2665
0.3789,0.8177,-0.0316
0.3729,0.8235,-0.0378
0.3680,0.8331,-0.0443
0.3649,0.8468,-0.0394
0.3567,0.8719,-0.0168
0.3098,0.7814,0.0101
0.2980,0.7785,0.0118
0.2875,0.7746,0.0113
0.2585,0.7626,0.0163
0.1270,0.7163,0.0759
0.3965,0.5432,-0.0579
0.3785,0.4912,0.0082
0.3591,0.4992,0.0242
0.3199,0.7784,0.0121
0.1329,0.7888,0.1325
0.4056,0.4856,-0.0421
0.3455,0.8994,-0.0039
0.4498,0.5761,-0.1665
0.4183,0.5550,-0.1202
